<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r0 = <jdk.internal.misc.TerminatingThreadLocal: java.lang.ThreadLocal REGISTRY>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $c33 = $r24[$i32] , if $c33 == 10 goto $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $c33 == 10 goto $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF> , $r25 = r0.<java.io.Console$LineReader: char[] cb>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $c33 == 10 goto $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF> , $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r25 = r0.<java.io.Console$LineReader: char[] cb> , $i34 = i38 - 1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i34 = i38 - 1 , $c35 = $r25[$i34]
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $c35 = $r25[$i34] , if $c35 == 13 goto $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $c35 == 13 goto $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF> , z1 = 1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $c35 == 13 goto $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF> , $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , z1 = 1 , goto [?= $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF>]
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , goto [?= $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF>] , $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i29 = i36 - i0 , if $i29 != 0 goto $i30 = i36 - i0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $i29 != 0 goto $i30 = i36 - i0 , exitmonitor r3
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $i29 != 0 goto $i30 = i36 - i0 , $i30 = i36 - i0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , exitmonitor r3 , return -1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i30 = i36 - i0 , exitmonitor r3
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , exitmonitor r3 , return $i30
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $z4 = r0.<java.io.Console$LineReader: boolean leftoverLF> , if $z4 == 0 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $z4 == 0 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 0 , $r17 = r0.<java.io.Console$LineReader: java.io.Console this$0>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $z4 == 0 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 0 , r0.<java.io.Console$LineReader: boolean leftoverLF> = 0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r17 = r0.<java.io.Console$LineReader: java.io.Console this$0> , $r18 = staticinvoke <java.io.Console: char[] access$100(java.io.Console)>($r17)
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r18 = staticinvoke <java.io.Console: char[] access$100(java.io.Console)>($r17) , if r28 != $r18 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if r28 != $r18 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 0 , $r19 = r0.<java.io.Console$LineReader: char[] cb>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if r28 != $r18 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 0 , r0.<java.io.Console$LineReader: boolean leftoverLF> = 0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r19 = r0.<java.io.Console$LineReader: char[] cb> , $i24 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i24 = r0.<java.io.Console$LineReader: int nextChar> , $c25 = $r19[$i24]
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $c25 = $r19[$i24] , if $c25 != 10 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $c25 != 10 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 0 , $i26 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $c25 != 10 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 0 , r0.<java.io.Console$LineReader: boolean leftoverLF> = 0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i26 = r0.<java.io.Console$LineReader: int nextChar> , $i27 = $i26 + 1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i27 = $i26 + 1 , r0.<java.io.Console$LineReader: int nextChar> = $i27
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r0.<java.io.Console$LineReader: int nextChar> = $i27 , r0.<java.io.Console$LineReader: boolean leftoverLF> = 0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r0.<java.io.Console$LineReader: boolean leftoverLF> = 0 , $i39 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i39 = r0.<java.io.Console$LineReader: int nextChar> , $i40 = r0.<java.io.Console$LineReader: int nChars>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i40 = r0.<java.io.Console$LineReader: int nChars> , if $i39 >= $i40 goto (branch)
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $i39 >= $i40 goto (branch) , $i7 = i36
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $i39 >= $i40 goto (branch) , if z1 == 0 goto $i5 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i7 = i36 , i36 = i36 + 1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , i36 = i36 + 1 , $r4 = r0.<java.io.Console$LineReader: char[] cb>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r4 = r0.<java.io.Console$LineReader: char[] cb> , $i8 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i8 = r0.<java.io.Console$LineReader: int nextChar> , $c9 = $r4[$i8]
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $c9 = $r4[$i8] , r28[$i7] = $c9
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r28[$i7] = $c9 , c41 = $c9
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , c41 = $c9 , $r5 = r0.<java.io.Console$LineReader: char[] cb>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r5 = r0.<java.io.Console$LineReader: char[] cb> , $i10 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i10 = r0.<java.io.Console$LineReader: int nextChar> , $i11 = $i10 + 1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i11 = $i10 + 1 , r0.<java.io.Console$LineReader: int nextChar> = $i11
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r0.<java.io.Console$LineReader: int nextChar> = $i11 , $r5[$i10] = 0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r5[$i10] = 0 , if c41 != 10 goto (branch)
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if c41 != 10 goto (branch) , $i23 = i36 - i0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if c41 != 10 goto (branch) , if c41 != 13 goto (branch)
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i23 = i36 - i0 , exitmonitor r3
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , exitmonitor r3 , return $i23
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if c41 != 13 goto (branch) , if i36 != i37 goto $i14 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if c41 != 13 goto (branch) , if i36 != i37 goto $i39 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if i36 != i37 goto $i14 = r0.<java.io.Console$LineReader: int nextChar> , $r14 = r0.<java.io.Console$LineReader: java.io.Console this$0>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if i36 != i37 goto $i14 = r0.<java.io.Console$LineReader: int nextChar> , $i14 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r14 = r0.<java.io.Console$LineReader: java.io.Console this$0> , $r15 = staticinvoke <java.io.Console: char[] access$100(java.io.Console)>($r14)
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r15 = staticinvoke <java.io.Console: char[] access$100(java.io.Console)>($r14) , if r28 != $r15 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if r28 != $r15 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 1 , $r16 = r0.<java.io.Console$LineReader: java.io.Console this$0>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if r28 != $r15 goto r0.<java.io.Console$LineReader: boolean leftoverLF> = 1 , r0.<java.io.Console$LineReader: boolean leftoverLF> = 1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r16 = r0.<java.io.Console$LineReader: java.io.Console this$0> , r28 = staticinvoke <java.io.Console: char[] access$200(java.io.Console)>($r16)
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r28 = staticinvoke <java.io.Console: char[] access$200(java.io.Console)>($r16) , i42 = lengthof r28
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , i42 = lengthof r28 , goto [?= $i14 = r0.<java.io.Console$LineReader: int nextChar>]
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , goto [?= $i14 = r0.<java.io.Console$LineReader: int nextChar>] , $i14 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r0.<java.io.Console$LineReader: boolean leftoverLF> = 1 , $i22 = i36 - i0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i22 = i36 - i0 , exitmonitor r3
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , exitmonitor r3 , return $i22
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i14 = r0.<java.io.Console$LineReader: int nextChar> , $i13 = r0.<java.io.Console$LineReader: int nChars>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i13 = r0.<java.io.Console$LineReader: int nChars> , if $i14 != $i13 goto $i43 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $i14 != $i13 goto $i43 = r0.<java.io.Console$LineReader: int nextChar> , $r10 = r0.<java.io.Console$LineReader: java.io.Reader in>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $i14 != $i13 goto $i43 = r0.<java.io.Console$LineReader: int nextChar> , $i43 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r10 = r0.<java.io.Console$LineReader: java.io.Reader in> , $z0 = virtualinvoke $r10.<java.io.Reader: boolean ready()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $z0 = virtualinvoke $r10.<java.io.Reader: boolean ready()>() , if $z0 == 0 goto $i43 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $z0 == 0 goto $i43 = r0.<java.io.Console$LineReader: int nextChar> , $r13 = r0.<java.io.Console$LineReader: java.io.Reader in>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $z0 == 0 goto $i43 = r0.<java.io.Console$LineReader: int nextChar> , $i43 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r13 = r0.<java.io.Console$LineReader: java.io.Reader in> , $r12 = r0.<java.io.Console$LineReader: char[] cb>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r12 = r0.<java.io.Console$LineReader: char[] cb> , $r11 = r0.<java.io.Console$LineReader: char[] cb>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r11 = r0.<java.io.Console$LineReader: char[] cb> , $i20 = lengthof $r11
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i20 = lengthof $r11 , $i21 = virtualinvoke $r13.<java.io.Reader: int read(char[],int,int)>($r12, 0, $i20)
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i21 = virtualinvoke $r13.<java.io.Reader: int read(char[],int,int)>($r12, 0, $i20) , r0.<java.io.Console$LineReader: int nChars> = $i21
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r0.<java.io.Console$LineReader: int nChars> = $i21 , r0.<java.io.Console$LineReader: int nextChar> = 0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r0.<java.io.Console$LineReader: int nextChar> = 0 , $i43 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i43 = r0.<java.io.Console$LineReader: int nextChar> , $i44 = r0.<java.io.Console$LineReader: int nChars>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i44 = r0.<java.io.Console$LineReader: int nChars> , if $i43 >= $i44 goto $i45 = i36 - i0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $i43 >= $i44 goto $i45 = i36 - i0 , $r9 = r0.<java.io.Console$LineReader: char[] cb>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $i43 >= $i44 goto $i45 = i36 - i0 , $i45 = i36 - i0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r9 = r0.<java.io.Console$LineReader: char[] cb> , $i15 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i15 = r0.<java.io.Console$LineReader: int nextChar> , $c16 = $r9[$i15]
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $c16 = $r9[$i15] , if $c16 != 10 goto $i45 = i36 - i0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $c16 != 10 goto $i45 = i36 - i0 , $i17 = i36
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if $c16 != 10 goto $i45 = i36 - i0 , $i45 = i36 - i0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i17 = i36 , i36 = i36 + 1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , i36 = i36 + 1 , r28[$i17] = 10
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r28[$i17] = 10 , $i18 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i18 = r0.<java.io.Console$LineReader: int nextChar> , $i19 = $i18 + 1
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i19 = $i18 + 1 , r0.<java.io.Console$LineReader: int nextChar> = $i19
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , r0.<java.io.Console$LineReader: int nextChar> = $i19 , $i45 = i36 - i0
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $i45 = i36 - i0 , exitmonitor r3
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , exitmonitor r3 , return $i45
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if i36 != i37 goto $i39 = r0.<java.io.Console$LineReader: int nextChar> , $r6 = r0.<java.io.Console$LineReader: java.io.Console this$0>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , if i36 != i37 goto $i39 = r0.<java.io.Console$LineReader: int nextChar> , $i39 = r0.<java.io.Console$LineReader: int nextChar>
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r6 = r0.<java.io.Console$LineReader: java.io.Console this$0> , $r7 = staticinvoke <java.io.Console: char[] access$100(java.io.Console)>($r6)
<org.apache.commons.csv.ExtendedBufferedReader: int read(char[],int,int)> , $r7 = staticinvoke <java.io.Console: char[] access$100(java.io.Console)>($r6) , if r28 != $r7 goto $i12 = i36 - i0
